"rin_community","cisco_id","locality","region_a","zip_code","Age group","Ethnicity","Gender identity","Employment status","Highest education level","Which certificate(s) are you most interested in?","Why do you want to complete this certificate training? Select all that apply.","Which part of the training do you think will be the most valuable? Select all that apply.","How will the skills you learn benefit you? Select all that apply.","Are you able to commit 10-15 hours per week for this training?","Do you feel you will be able to complete your certification program by Sept. 30, 2024?","This training is online. Please rate your personal computer skills.","Do you have access to a laptop, tablet or personal computer?","If no, will you need assistance finding computer access locations?","After completion of the course, which wrap-around supports will you need?","cisco_certifcation_path.x","cisco_course_current.x","Checkpoint Exam: Build a Small Network","Checkpoint Exam: Network Access","Checkpoint Exam: The Internet Protocol","Checkpoint Exam: Communication Between Networks","Checkpoint Exam: Protocols for Specific Tasks","Checkpoint Exam: Characteristics of Network Design","Checkpoint Exam: Network Addressing","Checkpoint Exam: ARP, DNS, DHCP and the Transport Layer","Checkpoint Exam: Configure Cisco Devices","Checkpoint Exam: Physical, Data Link, and Network Layers","Checkpoint Exam: IP Addressing","Checkpoint Exam: Cisco Devices and Troubleshooting Network Issues","Module 37: Assessment Quiz","Module 38: Assessment Quiz","Module 39: Assessment Quiz","Networking Essentials: Course Final Exam","Networking Essentials: Assessment( Average )","Networking Essentials: Class Grade","cisco_certifcation_path.y","cisco_course_current.y","Checkpoint Exam: Network Security","Checkpoint Exam: OS and Endpoint Security","Checkpoint Exam: Principles, Practices, and Processes of Network Defense","Checkpoint Exam: Firewalls, Cryptography, and Cloud Security.","Checkpoint Exam: Evaluating Security Alerts","Checkpoint Exam: Vulnerability Assessment and Risk Management","Checkpoint Exam: Incident Response","Cybersecurity Essentials: Course Final Exam","Cybersecurity Essentials: Assessment( Average )","Cybersecurity Essentials: Class Grade","submitted_app_form","enrolled_in_first_course","completed_first_course","completed_networking_course","completed_cybersecurity_course","received_voucher","enrolled_in_follow_up_course","completed_follow_up_course","lon","lat","18_24","25_34","35_44","45_54","55","american_indian_or_alaska_native","asian","black_or_african_american","prefer_not_to_say","white","female","male","non_binary","increase_my_skills","get_a_new_or_better_job","start_my_own_business","case_manager_recommended","i_don_t_know"
"Pryor Creek","097647b80dd57b7c5c79d7341029e5e5","Oaks","OK","74820","25-34","White","Male","Unemployed","Undergraduate","Cybersecurity Essentials  (https://www.netacad.com/courses/cybersecurity), Networking Essentials (https://www.netacad.com/courses/networking)","Increase my skills, Get a new or better job","All of it","Personal Growth, Add to my resume, Get a new or better job","Yes","Yes","Above Average (use Microsoft Office, including Excel & Powerpoint)","Yes","Yes","Job seeking skills training, Practice interviewing","Cisco Certified Support Technician (CCST) Networking","CCNA: Introduction to Networks",95,90,85,85,80,100,86,95,90,86,93,100,100,93,100,80,91.12,91.12,"Cisco Certified Support Technician (CCST) Cybersecurity","Introduction to Cybersecurity",96,100,100,96,100,96,100,83,96.38,96.38,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,-94.8526,36.1692,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"Rutland","ab9f81949328c5bf3f38c7118887fd51","Mendon","VT","05701","45-54","Prefer not to say","Male","Unemployed","Undergraduate","Introduction to Cybersecurity (https://www.netacad.com/courses/cybersecurity)","Get a new or better job, Start my own business","All of it","Get a new or better job, Help start my own business","Yes","Yes","Above Average (use Microsoft Office, including Excel & Powerpoint)","Yes","No","Referrals to job opportunities, Resume assistance, Job seeking skills training, Practice interviewing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cisco Certified Support Technician (CCST) Cybersecurity","Introduction to Cybersecurity",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-72.9471,43.622,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"Wilson","3c19baac7ac60e7a29d29d2a1cdffb23","Wilson","NC","27893","35-44","Black or African American","Female","Employed","High School/GED","Cybersecurity Essentials  (https://www.netacad.com/courses/cybersecurity), Networking Essentials (https://www.netacad.com/courses/networking)","Increase my skills, Get a new or better job","All of it","Personal Growth, Add to my resume, Get a new or better job","Yes","Yes","Advanced (use Microsoft Office, including Excel & Powerpoint and set up new equipment, etc)","Yes","No","Referrals to job opportunities","Cisco Certified Support Technician (CCST) Networking","CCNA: Introduction to Networks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-77.8952,35.7215,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"Traverse City","31ab9a9685866d355458dc6b2de6a6c4","Traverse City","MI","49686","35-44","Black or African American","Male","Employed","Undergraduate","Cybersecurity Essentials  (https://www.netacad.com/courses/cybersecurity)","Increase my skills, Get a new or better job","All of it, Hands on- I can work at my own schedule","Personal Growth, Add to my resume, Get a new or better job","Yes","Yes","Above Average (use Microsoft Office, including Excel & Powerpoint)","Yes","No","Referrals to job opportunities, Resume assistance, Job seeking skills training, Practice interviewing, Information about other training programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cisco Certified Support Technician (CCST) Cybersecurity","Introduction to Cybersecurity",71,NA,NA,NA,NA,NA,NA,NA,8.88,8.88,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-85.5885,44.7634,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"Traverse City","8682a15be5807bb32bb4069f0e386885","Reed City","MI","49677","18-24","White","Male","Employed","High School/GED","Cybersecurity Essentials  (https://www.netacad.com/courses/cybersecurity)","Increase my skills","All of it, Hands on- I can work at my own schedule","Personal Growth, Add to my resume, Get a new or better job","Yes","Yes","Advanced (use Microsoft Office, including Excel & Powerpoint and set up new equipment, etc)","Yes","No","Information about other training programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cisco Certified Support Technician (CCST) Cybersecurity","Introduction to Cybersecurity",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-85.5103,43.8731,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Wilson","c74c21682508ab6ef1c67f7df538f4a9","Wilson","NC","27896","35-44","Black or African American","Female","Employed","Postgraduate","Cybersecurity Essentials  (https://www.netacad.com/courses/cybersecurity)","Increase my skills, Get a new or better job","All of it","Personal Growth, Add to my resume, Get a new or better job","Yes","Yes","Above Average (use Microsoft Office, including Excel & Powerpoint)","Yes","No","Referrals to job opportunities, Resume assistance, Job seeking skills training, Practice interviewing, Information about other training programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cisco Certified Support Technician (CCST) Cybersecurity","Introduction to Cybersecurity",NA,NA,NA,NA,NA,NA,NA,NA,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-77.9488,35.7612,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"Wilson","fecf42df6529e58116c705f6206167a0","Kenly","NC","27542","25-34","White","Male","Employed","High School/GED","Networking Essentials (https://www.netacad.com/courses/networking)","Increase my skills, Get a new or better job","All of it","Personal Growth, Add to my resume, Get a new or better job","Yes","Yes","Advanced (use Microsoft Office, including Excel & Powerpoint and set up new equipment, etc)","Yes","No","Information about other training programs","Cisco Certified Support Technician (CCST) Networking","CCNA: Introduction to Networks",95,81,100,100,90,100,86,95,100,100,100,100,100,100,100,83,95.62,95.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-78.0848,35.6817,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"Wilson","7eb32797b4656a5ddf34b2f8432649de","Wilson","NC","27893","25-34","Black or African American","Female","Employed","Undergraduate","Networking Essentials (https://www.netacad.com/courses/networking)","Increase my skills, Get a new or better job","All of it","Personal Growth, Add to my resume, Get a new or better job","Yes","Yes","Above Average (use Microsoft Office, including Excel & Powerpoint)","Yes","No","Referrals to job opportunities, Resume assistance, Job seeking skills training, Practice interviewing","Cisco Certified Support Technician (CCST) Networking","CCNA: Introduction to Networks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-77.9423,35.7239,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"Manitowoc","ad93d3ba40c3f1545afe6b3c272b30cc","Muskegon","MI","49444","25-34","Prefer not to say","Male","Employed","Graduate","Networking Essentials (https://www.netacad.com/courses/networking)","Increase my skills","All of it","Personal Growth, Add to my resume","Not at this time","Not at this time","Advanced (use Microsoft Office, including Excel & Powerpoint and set up new equipment, etc)","Yes","No","No, I don't need additional services","Cisco Certified Support Technician (CCST) Networking","CCNA: Introduction to Networks",85,71,80,85,85,90,86,95,81,86,87,85,93,93,87,73,85.12,85.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-86.2346,43.2337,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Aberdeen","24949558fcfb86c02fa461304249dc34","Aberdeen","SD","57401","45-54","White","Male","Employed","High School/GED","Cybersecurity Essentials  (https://www.netacad.com/courses/cybersecurity), Networking Essentials (https://www.netacad.com/courses/networking)","Increase my skills, Start my own business","All of it, Hands on- I can work at my own schedule","Personal Growth, Add to my resume, Help start my own business","Yes","Yes","Advanced (use Microsoft Office, including Excel & Powerpoint and set up new equipment, etc)","Yes","Yes","Resume assistance, Information about other training programs","Cisco Certified Support Technician (CCST) Networking","CCNA: Introduction to Networks",85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.31,5.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-98.4662,45.4535,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
